2025-04-01 14:28:54.821 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2c54c497
2025-04-01 14:28:54.822 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-04-01 14:28:54.841 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2025-04-01 14:28:55.009 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-04-01 14:28:55.017 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-01 14:28:55.580 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.8.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@769f6023]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2025-04-01 14:28:55.587 [cluster-ClusterId{value='67eb87a7b8947520bafc2041', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=13091300}
2025-04-01 14:28:55.863 [main] INFO  com.kun.config.WebMvcConfig - 开始设置静态资源映射...
2025-04-01 14:28:55.998 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-01 14:28:56.010 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-04-01 14:28:56.017 [main] INFO  com.kun.PgsqlTestApplication - Started PgsqlTestApplication in 2.906 seconds (process running for 3.367)
2025-04-01 14:29:01.514 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-01 14:29:01.514 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-01 14:29:01.516 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-04-01 14:29:02.079 [http-nio-8080-exec-3] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 157 ms
2025-04-01 14:29:04.753 [http-nio-8080-exec-4] INFO  com.kun.controller.commom.CommonController - 使用MongoDB工具类查询到的成员列表数据：[User(_id=67e7c785880b72495bb71237, name=wenwen, age=19), User(_id=67e7c785880b72495bb71238, name=wenwenwen, age=20), User(_id=67e7f01d08f7ca4f33b71236, name=wenhua, age=22), User(_id=1, name=wen, age=21), User(_id=67e7faccd868a58ec4780c21, name=wenwen, age=22), User(_id=67e8d3b7d97c7a70f3b8816c, name=wenwen, age=23), User(_id=67e8d75dd97c7a70f3b8816e, name=wenwen, age=19)]
2025-04-01 14:29:04.754 [http-nio-8080-exec-4] INFO  com.kun.controller.commom.CommonController - 使用MongoDB工具类查询到的数据：User(_id=67e7c785880b72495bb71238, name=wenwenwen, age=20)
2025-04-01 14:29:04.754 [http-nio-8080-exec-4] INFO  com.kun.controller.commom.CommonController - MongoDB查询到的数据：User(_id=67e7c785880b72495bb71238, name=wenwenwen, age=20)
2025-04-01 14:49:38.890 [http-nio-8080-exec-8] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 80 ms
2025-04-01 14:49:47.722 [http-nio-8080-exec-2] INFO  com.kun.controller.commom.CommonController - 使用MongoDB工具类查询到的成员列表数据：[User(_id=67e7c785880b72495bb71237, name=wenwen, age=19), User(_id=67e7c785880b72495bb71238, name=wenwenwen, age=20), User(_id=67e7f01d08f7ca4f33b71236, name=wenhua, age=22), User(_id=1, name=wen, age=21), User(_id=67e7faccd868a58ec4780c21, name=wenwen, age=22), User(_id=67e8d3b7d97c7a70f3b8816c, name=wenwen, age=23), User(_id=67e8d75dd97c7a70f3b8816e, name=wenwen, age=19)]
2025-04-01 14:49:47.722 [http-nio-8080-exec-2] INFO  com.kun.controller.commom.CommonController - 使用MongoDB工具类查询到的数据：User(_id=67e7c785880b72495bb71238, name=wenwenwen, age=20)
2025-04-01 14:49:47.722 [http-nio-8080-exec-2] INFO  com.kun.controller.commom.CommonController - MongoDB查询到的数据：User(_id=67e7c785880b72495bb71238, name=wenwenwen, age=20)
2025-04-01 15:02:22.805 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-04-01 15:02:22.806 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
